r_id,r_date,age,campus,class,ethnicity,gender,housing,housing_actual,status,vet,worker,drive,license,mode,mode_cat,camp_camp,camp_cat,park_campus_week,park_campus_days,tocamp_week,travel_time,travel_distance,main_route,region,informed,email_freq,email_read,email_subject,email_rules,rule_not_read,parking_ed,zip,x,y,park_pref,park_pref_2,park_permit,permit_type,permit_type_2,no_permit_why,no_permit,goldvgreen,greenvgold,lots_campus,park_where,park_awarness,park_avalible,park_first_choice,drive_res_class,drive_res_class_days,res_park,res_park2,mills_campus_peak,park_pref_peak,bv_campus_peak,centeral_camp_peak,lot_full,circle_time,comments,rate_overall_group,rate_overall,rate_maintenance,rate_online,rate_staff,rate_officers,rate_lot_safety,rate_clean,reason_no_vehicle,why_no_license,drop_off,rideshare_camp
531,3/20/2024,59,Main,Senior,Unknown,Male,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle, Drop off","Drive, Alternative, Alternative",Walk,Walk,2 days,2,,0,5,Hopkins,Region #6,Text Message,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78666,668,541,"A university lot or garage - with the correct parking permit,Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour),The Edward Gary Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, Free parking on a city or neighborhood street, LBJ PTP, Edward Gary PTP",Yes,,,,,,,I prefer to park in a Pay-to-Park garage (LBJ Garage or Edward Gary Garage),Closest to class,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",Bobcat Stadium (P10W),"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,My preferred lot does not get full,,NOne,Promoter,9,Extremely satisfied,Somewhat easy,Extremely satisfied,Extremely satisfied,Somewhat satisfied,Extremely satisfied,,,UAC,
532,3/20/2024,20,Main,Junior,Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,1 day,1,,30,20,Aquarena Springs,,Email,About right,Always,,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78748,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Bobcat Stadium East Lot (P10E),Lot that doesn't require riding the Bobcat Shuttle,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",Bobcat Stadium East (P10E),,,,,,,,,Circle until a space becomes available,5 to 15 minutes,Stop handing out parking tickets to cars even outside operating hours.,Detractor,3,Somewhat dissatisfied,Neither easy nor difficult,Neither satisfied nor dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,
533,3/20/2024,21,Main,Junior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Bobcat Shuttle,Alternative,"Bobcat Shuttle,Walk","Bobcat Shuttle, Walk",0 days,0,,0,0,,,Text Message,About right,Sometimes,Sometimes,No: I have read nOne of the Rules and RegulatiOns,Not interested,Probably yes,77474,,,I never drive to campus - I Only drive my car for nOn-university uses,Do not drive to campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,3/20/2024,18,Main,Freshman,White Non-Hisp,Female,On,Blanco Hall,Full-time,,,Yes,,,,Walk,Walk,7 days,7,,,,,,Text Message,Less than I would like,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,No,,Blanco Garage (Lot 303),,,,,,"Other, please specify:",,More parking or less permits issued! There’s never enough cOnvenient parking in the lot next to my residence hall.,Detractor,1,Neither satisfied nor dissatisfied,Somewhat easy,Somewhat dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Extremely dissatisfied,,,,
535,3/21/2024,18,Main,Freshman,Multi-racial,Female,On,Tower Hall,Full-time,Veteran Dependent,,Yes,,,,"Drive,Uber / Lyft","Drive, Uber / Lyft",7 days,7,,,,,,Email,About right,Most of the time,,No: I have read nOne of the Rules and RegulatiOns,I already know what I need to know,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Bobcat Shuttle -  I did not want to ride the bus to my vehicle,,,,,,No,,Tower Garage (Lot 106),,,,,,"Other, please specify:",,If an out of state car doesn’t have a frOnt license plate but are registered to park dOn’t give them a citatiOn just for  backing in.,Passive,7,Somewhat dissatisfied,Somewhat easy,Extremely satisfied,Neither satisfied nor dissatisfied,Extremely satisfied,Somewhat dissatisfied,,,,A few times a month
536,3/21/2024,31,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Part-time,,,Yes,,Drive,Drive,"Walk,Other, please specify:","Walk, Other, please specify:",4 days,4,,60,30,N. LBJ Dr. at Sessom Dr.,,Email,About right,Always,,Some: I have read some parts of the Rules and RegulatiOns,"other, please specify:",Probably yes,78613,,,The LBJ Student Center Parking Garage (pay by the hour),LBJ PTP,Yes,,,,,,,"Other, please specify:","Other, please specify:","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,,Park in a Pay-to-Park garage,,"I first transferred here in 2014. Back then there were way more commuter parking spaces available in multiple garages all over campus. Now, many of those spaces are given to residences. I think it's unfair that residents can park in garages when they already live On campus and can park their car where they live. It's much easier for them to walk or take the bus. I have way fewer optiOns of places to park when I get to campus. 
I also wish students could be informed if events will be happening in buildings such as LBJ, so students who typically park in LBJ can plan accordingly. I know this probably sounds excessive, but, as a student who commutes over an hour to campus, it would be great to know that I'll have to park somewhere else and need to allot even more extra time than I already do to make sure I get to class On time.",Detractor,2,Extremely satisfied,Extremely easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat satisfied,,,,
537,3/21/2024,18,Main,Sophomore,White Non-Hisp,Female,On,Chautauqua Hall,Full-time,,,Yes,,,,"Walk,SPIN Scooters","Walk, SPIN Scooters",6 days,6,,,,,,Text Message,More than I would like,Never,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,Not interested,Probably yes,,,,"A university lot or garage - with the correct parking permit,I never drive to campus - I Only drive my car for nOn-university uses","A university lot or garage - with the correct parking permit, Do not drive to campus",,,,,,,,,,,,,,,,,,,,,,,Have assigned spots in parking garages to ensure everyOne is able to park.,,,,,,,,,,,,
538,3/21/2024,24,Main,Junior,White Non-Hisp,Male,Off,Off-Campus,Full-time,Veteran,,Yes,,Drive,Drive,Walk,Walk,5 days,5,,15,5,Sessom Dr,,Email,About right,Always,,Yes: I have read all of the Rules and RegulatiOns,,Definitely yes,78640,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",Yes,,,,,,,Speck Garage (C13),Lot that doesn't require riding the Bobcat Shuttle,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,,Circle until a space becomes available,30 to 60 minutes,"Instead of focusing On setting enrolment records, the University should focus On improving the experience for current Texas State students. The university hardly fits in San Marcos as it is, and expanding without new On-campus parking optiOns is nOnsensical.",Detractor,1,Extremely dissatisfied,Somewhat difficult,Extremely dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Extremely dissatisfied,,,,
539,3/21/2024,21,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,2 days,2,,0,0,N. Guadalupe St,,Text Message,More than I would like,Never,Always,No: I have read nOne of the Rules and RegulatiOns,Too long,Probably yes,78666,,,"The LBJ Student Center Parking Garage (pay by the hour),The Edward Gary Parking Garage (pay by the hour)","LBJ PTP, Edward Gary PTP",No,,,"Permit cost is too high, Available parking is incOnvenient for me, Did not want to ride the Bobcat Shuttle from available parking",Permit cost is too high,,,,,,,,,,,,,,,,,,"I nearly stepped On a used heroin needle in the LBJ pay to park garage in sandals, there needs to be better security in these garages.",Detractor,0,Extremely dissatisfied,Neither easy nor difficult,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,,,,
540,3/21/2024,18,Main,Freshman,Hisp,Female,On,Zamora OShea Hall,Full-time,,,Yes,,,,"Drive,Bobcat Shuttle,Walk,SPIN Scooters","Drive, Bobcat Shuttle, Walk, SPIN Scooters",3 days,3,,,,,,Text Message,More than I would like,About half the time,Always,Some: I have read some parts of the Rules and RegulatiOns,Too long,Definitely not,,,,"A university lot or garage - with the correct parking permit,A university lot or garage - without the correct parking permit,Free parking On a city or neighborhood street,Accessible Parking","A university lot or garage - with the correct parking permit, A university lot or garage - without the correct parking permit, Free parking on a city or neighborhood street, Accessible Parking",Yes,Gold Mill Street/Residence Hall Permit (less expensive),Gold,,,Price,,,,,,,,,,,No,,,,My preferred lot does not get full,,Stop over selling parking passes and making them so expensive,Detractor,3,Neither satisfied nor dissatisfied,Extremely difficult,Somewhat dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Extremely dissatisfied,,,,
541,3/21/2024,18,Main,Sophomore,White Non-Hisp,Female,On,Lantana Hall,Full-time,,,No,Yes,,,Walk,Walk,,,,,,,,Email,More than I would like,Always,,No: I have read nOne of the Rules and RegulatiOns,"other, please specify:",Probably not,,,,,,,,,,,,,,,,,,,,,,,,,,,,More commuter parking spaces would be great.,,,,,,,,,Too expensive,,,
542,3/21/2024,21,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle, Walk","Drive, Alternative, Active",Walk,Walk,3 days,3,,0,0,Aquarena Springs,,TXST App,More than I would like,Never,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,Not interested,Probably yes,78666,,,The LBJ Student Center Parking Garage (pay by the hour),LBJ PTP,No,,,"Permit cost is too high, Available parking is incOnvenient for me, Did not want to ride the Bobcat Shuttle from available parking",Permit cost is too high,,,,,,,,,,,,,,,,,,"Every single persOn I have interacted with who works for parking services hates their job and life. Finding people who aren't extremely grumpy and mean would be better, and providing cheaper parking for upperclassmen who live On campus is a HUGE need for TXST. Lowering the cost of the LBJ parking garage would be a start to improving the attitude towards parking services. $12 to park for a couple of hours a day hurts when you barely get paid any mOney, and choosing between being able to eat a meal and going to school is not a fun choice to make.",Detractor,2,Neither satisfied nor dissatisfied,Somewhat difficult,Extremely dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,
543,3/22/2024,25,Main,Junior,White Non-Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,4 days,4,,15,20,Hopkins,,Email,Less than I would like,Always,,Yes: I have read all of the Rules and RegulatiOns,,Definitely yes,78130,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",Yes,,,,,,,James St Lot (C12),Closest to class,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,Park in a Pay-to-Park garage,,We need more commuter lots,Detractor,4,Somewhat satisfied,Neither easy nor difficult,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Extremely satisfied,Somewhat satisfied,,,,
544,3/22/2024,29,Main,Senior,White Non-Hisp,Male,Off,Off-Campus,Part-time,,,Yes,,Drive,Drive,Walk,Walk,2 days,2,,60,30,,,,More than I would like,Never,Most of the time,No: I have read nOne of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78163,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Speck Garage (C13),Lot most likely to have available spaces,,,,,,,,,,,,"Other, please specify:",,"Stop prioritizing other shit with your cOnstructiOn. There are not enough parking spots for your students. It's a gamble every day to see if there will be parking for me, and that's not acceptable. You reference that the stadium exists, but by the time I get there after already driving over an hour, I am still early for class. Then I wait to see if a parking spot opens up and if it doesn't I'm just screwed. There is no other optiOn near me. There is One spot On a shady street 20 minute walk from class without even a proper sidewalk and almost entirely uphill. So even if I do chose that optiOn I'm late to class and drenched in sweat and technically breaking the law to walk that route. It's 25-30 if I take the sidewalks. Bobcat stadium is not an acceptable optiOn. I would have to leave over 2 hours in advance for a class that lasts an hour 20. I would spend doubled the time driving and parking than i would attending lecture. Parking at this school is criminal and NEEDS to be addressed as a very high priority. We pay so much to attend the school, and we dOn't care about your research levels or other crap possible spOnsors care about, we care about making it to class On time and not having to endure a crisis every morning of will I make it or not. Student life is stressful enough as is without having to screw with these unacceptable cOnditiOns. Build more parking. Build more garages. Stop building other stuff until the need is met. WE ARE YOUR CLIENTS! not your spOnsors. You need to be serving our NEEDS first. It's not like we are asking for more parking cause we are lazy and dOn't want to walk, the optiOns available just aren't acceptable.",Detractor,2,,Somewhat difficult,,,Somewhat dissatisfied,,,,,
545,3/22/2024,44,Main,Sophomore,Hisp,Female,Off,Off-Campus,Full-time,Veteran,,Yes,,Drive,Drive,Walk,Walk,5 days,5,,15,10,Hopkins,Region #6,Text Message,About right,About half the time,Always,Some: I have read some parts of the Rules and RegulatiOns,Too long,Might or might not,78130,632,533,"A university lot or garage - without the correct parking permit,Free parking On a city or neighborhood street,Downtown or On the Square,Off-campus Pay to Park lot","A university lot or garage - without the correct parking permit, Free parking on a city or neighborhood street, Downtown or On the Square, Off-campus PTP",Yes,,,,,,,"Other, please specify:",Closest to class,"Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,,,Circle until a space becomes available,Less than 5 minutes,The university needs to provide more parking for commuters. Taking the bus for some of us with high anxiety or other issues is not a good optiOn. Why do you need to purchase a permit and then pay for parking in a garage that isn’t purple? Is there room somewhere to build more garages? I dOn’t mind walking from a certain distance but bobcat stadium is too far. I have paid for many tickets. Surly all the tickets given can go towards building more parking.,Detractor,0,Somewhat satisfied,Somewhat easy,Extremely dissatisfied,Neither satisfied nor dissatisfied,Extremely satisfied,Extremely satisfied,,,,
546,3/22/2024,27,Main,Senior,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Walk","Drive, Active",Walk,Walk,4 days,4,,0,0,N. LBJ Dr. at Sessom Dr.,,Text Message,About right,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,Not interested,Probably yes,78666,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Speck Garage (C13),Closest to class,Bobcat Stadium East (P10E),,,,,,,,,,,Circle until a space becomes available,5 to 15 minutes,way more parking is needed for commuters. in the middle of campus even. parking at the stadium sucks,Detractor,0,Somewhat dissatisfied,Extremely difficult,Extremely dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Extremely dissatisfied,,,,
547,3/23/2024,18,Main,Freshman,White Non-Hisp,Female,On,San Marcos Hall,Full-time,,,Yes,,,,Walk,Walk,7 days,7,,,,,,Text Message,About right,Sometimes,Always,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,No,,Academy Street Garage (Lot 304),,,,,,Circle until a space becomes available,15 to 30 minutes,In need of more residential (green) parking lots!,Detractor,5,Neither satisfied nor dissatisfied,Somewhat easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,
548,3/24/2024,20,Main,Junior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle, Drop off","Drive, Alternative, Alternative",Walk,Walk,1 day,1,,0,0,Aquarena Springs,Region #6,Social Media,Less than I would like,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78666,665,508,"Free parking On a city or neighborhood street,First available spot, regardless of restrictiOns","Free parking on a city or neighborhood street, First available spot, Free parking on a city or neighborhood street",No,,,"Permit cost is too high, Do not believe there is available parking, Did not want to ride the Bobcat Shuttle from available parking",Do not believe there is available parking,,,,,,,,,,,,,,,,,,Stop allowing freshmen to bring a car especially if the incoming freshman classes keep growing as rapidly. They live On campus so let commuters have access to parking.,Detractor,0,Neither satisfied nor dissatisfied,Extremely easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,In frOnt of the arch at UAC,
549,3/25/2024,21,Main,Senior,White Non-Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,0 days,0,,0,0,,,Text Message,About right,About half the time,Always,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78666,,,I never drive to campus - I Only drive my car for nOn-university uses,Do not drive to campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,3/25/2024,20,Main,Junior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Bobcat Shuttle, Drop off, Private Shuttle Bus","Alternative, Alternative, Alternative",Walk,Walk,0 days,0,,15,0,,,Text Message,About right,Never,Always,Some: I have read some parts of the Rules and RegulatiOns,Too long,Might or might not,78666,,,"The LBJ Student Center Parking Garage (pay by the hour),I never drive to campus - I Only drive my car for nOn-university uses","LBJ PTP, Do not drive to campus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JCM,
551,3/25/2024,21,Main,Senior,Hisp,Female,Off,Off-Campus,Full-time,Veteran,,Yes,,Drive,Drive,Walk,Walk,4 days,4,,0,5,N. Guadalupe St,,Email,Less than I would like,Always,,Yes: I have read all of the Rules and RegulatiOns,,Definitely yes,78233,,,The LBJ Student Center Parking Garage (pay by the hour),LBJ PTP,No,,,Purchase temporary permits as needed,,,,,,,,,,,,,,,,,,,I think we shouldn’t have parking permits to park. I think instead you get different parkin permits for free (including tuitiOn) based On how many credits a student has. We have designated levels or garages for each student and LBJ used for visitors Only.,Detractor,4,Extremely satisfied,Somewhat difficult,Extremely dissatisfied,Somewhat dissatisfied,Extremely satisfied,Neither satisfied nor dissatisfied,,,,
552,3/25/2024,30,Main,Senior,White Non-Hisp,Male,Off,Off-Campus,Full-time,Veteran,,No,Yes,Bobcat Shuttle,Alternative,Walk,Walk,,,,0,0,,,TXST App,About right,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,"other, please specify:",Probably yes,78666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I prefer alternative transportatiOn, (e.g., bikes, buses, walking)",,,
553,3/25/2024,20,Main,Junior,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,"Drive,Walk","Drive, Walk",4 days,4,,45,20,Aquarena Springs,,Text Message,About right,Most of the time,,No: I have read nOne of the Rules and RegulatiOns,Too long,Probably not,78612,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",No,,,Purchase temporary permits as needed,,,,,,,,,,,,,,,,,,,More parking,Detractor,3,Neither satisfied nor dissatisfied,Somewhat difficult,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,
554,3/25/2024,19,Main,Freshman,White Non-Hisp,Male,On,JacksOn Hall,Full-time,,,Yes,,,,Walk,Walk,2 days,2,,,,,,Text Message,Less than I would like,Never,Sometimes,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,,,,"A university lot or garage - with the correct parking permit,I never drive to campus - I Only drive my car for nOn-university uses","A university lot or garage - with the correct parking permit, Do not drive to campus",,,,,,,,,,,,,,,,,,,,,,,"More spots, less strict rules",,,,,,,,,,,,
555,3/25/2024,23,Main,Junior,White Non-Hisp,Male,Off,Off-Campus,Full-time,,UGA,Yes,,Walk,Active,Walk,Walk,7 days,7,,0,0,,,Text Message,More than I would like,Sometimes,Most of the time,Yes: I have read all of the Rules and RegulatiOns,,Definitely yes,,,,I never drive to campus - I Only drive my car for nOn-university uses,Do not drive to campus,,,,,,,,,,,,,,,,,,,,,,,Stop overselling permits and setting everything up to profit Off parking tickets. Y’all make shit so difficult and frustrating for students just trying to get to class and learn. You get enough tuitiOn mOney already,,,,,,,,,,,,
556,3/25/2024,19,Main,Freshman,Hisp,Female,On,Tower Hall,Full-time,,,Yes,,,,Walk,Walk,7 days,7,,,,,,Text Message,About right,About half the time,Always,No: I have read nOne of the Rules and RegulatiOns,Too long,Definitely yes,,,,"A university lot or garage - with the correct parking permit,A university lot or garage - without the correct parking permit","A university lot or garage - with the correct parking permit, A university lot or garage - without the correct parking permit",Yes,Green Residential Permit (more expensive),Green,,,,Other,,,,,,No,,Tower Garage (Lot 106),,,,,,"Other, please specify:",,Make more parking,Detractor,4,Extremely satisfied,Somewhat difficult,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,,,,
557,3/25/2024,20,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,Veteran Dependent,,Yes,,"Drive, Bobcat Shuttle, Carpool","Drive, Alternative, Alternative",Walk,Walk,2 days,2,,15,0,Aquarena Springs,Region #6,Text Message,About right,About half the time,Most of the time,No: I have read nOne of the Rules and RegulatiOns,Too long,Probably yes,78666,594,549,"A university lot or garage - with the correct parking permit,A university lot or garage - without the correct parking permit,Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour),Downtown or On the Square","A university lot or garage - with the correct parking permit, A university lot or garage - without the correct parking permit, Free parking on a city or neighborhood street, LBJ PTP, Downtown or On the Square",No,,,"Permit cost is too high, Do not believe there is available parking, Purchase temporary permits as needed",Do not believe there is available parking,,,,,,,,,,,,,,,,,,"There needs to be a limit On the amount of permits given out. If there already is One, please lower it. There are too many students driving to campus and not enough parking spots",Detractor,6,Extremely satisfied,Somewhat easy,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Extremely satisfied,,,,
558,3/25/2024,20,Partially RRC,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Walk,Walk,1 day,1,,60,30,Aquarena Springs,,Email,About right,About half the time,Always,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78665,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Speck Garage (C13),Lot most likely to have available spaces,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,,Detractor,4,Neither satisfied nor dissatisfied,Somewhat easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Extremely dissatisfied,,,,
559,3/25/2024,22,Main,Senior,Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Walk,Walk,4 days,4,,15,5,Hunter,,Email,Less than I would like,Always,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78666,,,"Free parking On a city or neighborhood street,Off-campus Pay to Park lot","Free parking on a city or neighborhood street, Off-campus PTP",No,,,"Permit cost is too high, Do not believe there is available parking, Other,",Do not believe there is available parking,,,,,,,,,,,,,,,,,,"Build parking lots Only for people that commute, specially seniors because we work and study and finding parking takes a lot of time",Detractor,2,Neither satisfied nor dissatisfied,Neither easy nor difficult,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,
560,3/25/2024,21,Main,Sophomore,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,"Bobcat Shuttle,Walk","Bobcat Shuttle, Walk",4 days,4,,15,10,Hunter,,Email,Less than I would like,About half the time,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably yes,,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",Yes,,,,,,,I prefer to park in a Pay-to-Park garage (LBJ Garage or Edward Gary Garage),Closest to class,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",Bobcat Stadium East (P10E),,,,,,,,,Circle until a space becomes available,5 to 15 minutes,Needing closer purple permit parking. maybe having more of the parking garages permit parking,Detractor,2,Somewhat dissatisfied,Somewhat difficult,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,,,,
561,3/25/2024,20,Main,Junior,Black/Af Am,Male,Off,Off-Campus,Full-time,,,Yes,,Bobcat Shuttle,Alternative,"Drive,Walk","Drive, Walk",3 days,3,,0,0,,Region #6,Text Message,About right,Never,Never,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78666,645,557,"Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour),Off-campus Pay to Park lot","Free parking on a city or neighborhood street, LBJ PTP, Off-campus PTP",Yes,,,,,,,I prefer to park in a Pay-to-Park garage (LBJ Garage or Edward Gary Garage),Closest to class,,,,,,,,,,,,Circle until a space becomes available,15 to 30 minutes,Create more purple permits parking zOnes that are near the center of campus.,Detractor,0,Neither satisfied nor dissatisfied,Neither easy nor difficult,Extremely dissatisfied,Somewhat dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,,,,
562,3/25/2024,18,Main,Sophomore,Black/Af Am,Male,On,Sayers Hall,Full-time,,,Yes,,,,"Drive,Bobcat Shuttle,Walk,SPIN Scooters,Nite Cats","Drive, Bobcat Shuttle, Walk, SPIN Scooters, Nite Cats",7 days,7,,,,,,Email,About right,Sometimes,Always,Yes: I have read all of the Rules and RegulatiOns,,Definitely not,,,,"A university lot or garage - with the correct parking permit,A university lot or garage - without the correct parking permit,First available spot, regardless of restrictiOns","A university lot or garage - with the correct parking permit, A university lot or garage - without the correct parking permit, First available spot, Free parking on a city or neighborhood street",Yes,Gold Mill Street/Residence Hall Permit (less expensive),Gold,,,Green Residential Permits were sold out,,,,,,,,,,,Yes,Free parking On a city or neighborhood street,,,Circle until a space becomes available,15 to 30 minutes,Build more parking garages that are for upperclassmen and NOT freshmen,Detractor,5,Somewhat satisfied,Extremely easy,Extremely satisfied,Somewhat dissatisfied,Extremely dissatisfied,Somewhat satisfied,,,,
563,3/25/2024,19,Main,Junior,Hisp,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,"Drive, Private Shuttle Bus","Drive, Alternative",Walk,Walk,5 days,5,,0,0,N. Guadalupe St,,TXST App,More than I would like,Sometimes,Sometimes,Yes: I have read all of the Rules and RegulatiOns,,Might or might not,78666,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Speck Garage (C13),Lot most likely to have available spaces,"Mill St (P12),Bobcat Stadium (P10W)",Mill St (P12),,,,,,,,,,Circle until a space becomes available,5 to 15 minutes,Stop building more dorms and build parking garages instead,Passive,7,Somewhat satisfied,Somewhat easy,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat satisfied,,,,
